20141015	SYR	TUR	073
20141015	SYR	TUR	073
20141015	SYR	TUR	073
20141015	SYR	TUR	073
20141015	SYR	TUR	073
20141015	SYR	TUR	073
20141015	SYR	TUR	073
20141015	SYR	TUR	073
20141015	SYR	TUR	073
20141015	SYR	TUR	073
20141015	SYR	TUR	073
20141015	SYR	TUR	073
20141015	SYR	USA	070
20141015	TCD	MEX	073
20141015	THA	GBR	071
20141015	THA	GBR	071
20141015	THA	GBR	071
20141015	TUN	EUR	071
20141015	TUN	EUR	071
20141015	TUR	CHE	070
20141015	TUR	CHE	070
20141015	TUR	EUR	071
20141015	TUR	IRQ	072
20141015	TUR	IRQ	075
20141015	TUR	IRQ	075
20141015	TUR	ISR	070
20141015	TUR	PSE	070
20141015	TUR	PSE	070
20141015	TUR	SYR	070
20141015	TUR	SYR	071
20141015	TUR	SYR	075
20141015	TUR	SYR	075
20141015	TUR	SYR	075
20141015	TUR	SYR	075
20141015	TUR	SYR	075
20141015	TUR	TUR	071
20141015	TUR	UKR	070
20141015	TUR	UKR	070
20141015	TUR	USA	070
20141015	TUR	TUR	071
20141015	TWN	KIR	071
20141015	TWN	KIR	071
20141015	UKR	GBR	070
20141015	UKR	RUS	072
20141015	UKR	RUS	072
20141015	UKR	RUS	072
20141015	UKR	RUS	072
20141015	UKR	RUS	072
20141015	UKR	RUS	072
20141015	UKR	RUS	072
20141015	UKR	RUS	072
20141015	UKR	RUS	072
20141015	UKR	UKR	071
20141015	UKR	USA	070
20141015	USA	AFG	071
20141015	USA	AFG	073
20141015	USA	AFG	073
20141015	USA	AFG	073
20141015	USA	AFG	073
20141015	USA	AFG	073
20141015	USA	AFR	072
20141015	USA	AFR	072
20141015	USA	AFR	072
20141015	USA	ALB	071
20141015	USA	ARE	070
20141015	USA	ARE	070
20141015	USA	ARM	071
20141015	USA	CAN	071
20141015	USA	CAN	071
20141015	USA	CHL	070
20141015	USA	CHN	071
20141015	USA	CHN	071
20141015	USA	CHN	071
20141015	USA	CHN	072
20141015	USA	CUB	075
20141015	USA	CUB	075
20141015	USA	DEU	070
20141015	USA	DEU	070
20141015	USA	DEU	071
20141015	USA	DEU	075
20141015	USA	ECU	075
20141015	USA	EGY	070
20141015	USA	EGY	072
20141015	USA	EGY	071
20141015	USA	EUR	070
20141015	USA	EUR	071
20141015	USA	EUR	071
20141015	USA	GBR	070
20141015	USA	GBR	070
20141015	USA	GBR	070
20141015	USA	GBR	075
20141015	USA	GNQ	071
20141015	USA	GNQ	071
20141015	USA	GNQ	071
20141015	USA	GRC	071
20141015	USA	HTI	071
20141015	USA	HUN	075
20141015	USA	HUN	075
20141015	USA	EUR	071
20141015	USA	IRN	073
20141015	USA	IRN	073
20141015	USA	IRQ	072
20141015	USA	IRQ	072
20141015	USA	IRQ	072
20141015	USA	IRQ	072
20141015	USA	IRQ	072
20141015	USA	IRQ	072
