19790422	THA	KHM	073
19790422	JOR	JOR	073
19790422	JOR	JOR	073
19790423	SVK	CUB	070
19790423	SVK	CUB	070
19790423	UGA	TZA	072
19790423	VNM	KHM	072
19790424	NOR	MOZ	070
19790424	SYR	SYR	071
19790424	THA	KHM	073
19790424	THA	KHM	073
19790424	NOR	MOZ	070
19790424	NOR	MOZ	070
19790424	RUS	NOR	072
19790424	RUS	NOR	072
19790425	KEN	UGA	070
19790425	RUS	RUS	072
19790425	TZA	UGA	072
19790425	TZA	UGA	072
19790425	TZA	UGA	072
19790425	TZA	UGA	072
19790425	KEN	UGA	070
19790425	KEN	UGA	070
19790425	KEN	UGA	070
19790426	CHN	JPN	070
19790426	CHN	JPN	070
19790426	CHN	VNM	070
19790426	ISR	USA	072
19790426	RUS	POL	070
19790426	RUS	POL	070
19790426	VNM	VNM	070
19790427	AUS	IDN	071
19790427	AUS	AUS	071
19790427	BGR	BGR	070
19790427	CAN	CAN	070
19790427	CHN	VNM	071
19790427	RUS	BGR	070
19790427	RUS	BGR	070
19790427	RUS	BGR	070
19790427	THA	KHM	073
19790427	THA	KHM	073
19790427	THA	VNM	073
19790427	THA	VNM	073
19790427	THA	VNM	073
19790427	TUR	GRC	075
19790427	TUR	GRC	075
19790427	UGA	UGA	073
19790427	UGA	UGA	073
19790427	USA	QAT	071
19790427	VNM	LAO	072
19790427	VNM	LAO	072
19790427	KEN	UGA	071
19790427	KEN	UGA	071
19790427	RUS	VNM	073
19790427	RUS	VNM	073
19790428	BEL	BGD	071
19790428	KHM	KHM	071
19790428	RUS	FRA	073
19790428	THA	KHM	073
19790429	AFR	USA	071
19790429	CHN	KHM	072
19790429	KHM	KHM	072
19790429	SWE	AFR	070
19790429	SWE	AFR	070
19790429	USA	EGY	071
19790429	USA	EGY	071
19790430	AFR	USA	071
19790430	AFR	USA	071
19790502	CHE	CHN	073
19790502	CHE	CHN	073
19790502	EGY	SAU	071
19790502	EGY	SAU	071
19790502	EGY	SAU	071
19790502	EGY	SAU	071
19790502	FRA	AFR	071
19790502	FRA	AFR	071
19790502	KHM	RUS	070
19790502	LBR	JPN	070
19790502	LBR	JPN	070
19790502	NOR	UGA	071
19790503	AFR	USA	071
19790503	COD	EUR	071
19790503	AFR	COD	071
19790503	VNM	KHM	072
19790503	ZAF	USA	071
19790503	ZAF	USA	071
19790504	KHM	RUS	073
19790504	MYS	VNM	075
19790504	USA	USA	071
19790504	VNM	KHM	072
19790504	VNM	KHM	072
19790504	VNM	KHM	072
19790505	LBY	UGA	072
19790505	LBY	UGA	072
19790505	LBY	UGA	072
19790505	LBY	UGA	072
19790505	LBY	UGA	072
19790507	CUB	ESP	070
19790507	ITA	POL	070
19790507	ITA	POL	070
19790507	JPN	CHN	070
19790507	USA	SAU	071
19790507	USA	SAU	071
19790507	USA	SAU	071
19790507	VNM	ESP	070
19790507	VNM	ESP	070
19790508	GBR	USA	071
19790508	GBR	USA	071
19790508	KEN	UGA	073
19790508	USA	USA	073
19790508	USA	USA	072
19790509	CHN	MYS	070
19790509	CHN	PHL	070
19790509	CHN	PHL	070
19790509	EGY	TUN	071
19790509	GBR	USA	071
19790509	GBR	USA	071
19790509	LBN	IRL	072
19790509	LBN	IRL	072
19790509	MYS	PHL	070
19790509	NGA	IRL	072
19790509	NLD	IRL	072
19790509	SEN	IRL	072
19790509	THA	LAO	070
19790510	DEU	DEU	075
19790510	DEU	USA	075
19790510	ISR	PSE	070
19790510	ISR	PSE	070
19790510	ISR	PSE	070
19790510	ISR	PSE	070
19790510	ISR	PSE	070
19790510	USA	EGY	071
19790510	USA	EGY	071
19790511	PHL	CHE	071
19790511	JOR	JOR	072
19790511	PHL	CHE	071
19790512	EUR	UGA	071
19790512	GBR	POL	070
19790512	GBR	UGA	071
19790512	IRN	ZWE	071
19790512	MAR	ISR	071
19790512	MOZ	MOZ	070
19790512	POL	POL	070
19790512	THA	LAO	073
19790512	THA	LAO	073
19790512	THA	LAO	073
19790512	THA	LAO	073
19790512	THA	VNM	073
19790512	THA	VNM	073
19790512	EUR	UGA	071
19790512	GBR	UGA	071
19790512	GBR	UGA	071
19790512	GBR	UGA	071
19790512	GBR	UGA	071
19790512	THA	LAO	073
19790512	THA	LAO	073
19790512	TZA	DEU	070
19790512	TZA	DEU	070
19790512	TZA	DEU	070
19790513	GBR	EGY	071
19790513	JPN	EGY	071
19790513	RUS	KHM	070
19790513	GBR	EGY	071
19790513	GBR	EGY	071
19790513	GBR	EGY	071
19790513	JPN	EGY	071
19790513	JPN	EGY	071
19790513	JPN	EGY	071
19790514	EUR	AFR	070
19790514	POL	BGR	072
19790514	RUS	BGR	072
19790514	RUS	BGR	072
19790515	THA	VNM	073
19790515	THA	VNM	073
19790515	THA	VNM	073
19790515	USA	NIC	071
19790515	USA	NIC	071
19790515	USA	TUR	070
19790515	USA	USA	070
19790515	ZWE	MOZ	070
19790516	FRA	CAF	071
19790516	FRA	CAF	071
19790516	SEA	IRL	075
19790516	SEA	PHL	075
19790516	NGA	AFR	071
19790516	NGA	MOZ	070
19790516	PAK	AFG	070
19790516	PAK	AFG	070
19790516	THA	THA	072
19790516	NGA	AFR	071
19790516	NGA	AFR	071
19790516	NGA	MOZ	070
19790517	DZA	CHN	071
19790517	DZA	DZA	071
19790517	TTO	VCT	070
19790517	USA	COL	073
19790517	TTO	VCT	070
19790517	TTO	VCT	071
19790518	CHN	CHN	071
19790518	CHN	USA	071
19790518	CHN	USA	071
19790518	ITA	ITA	073
19790518	ITA	ITA	073
19790518	ITA	ITA	075
19790518	ITA	ITA	075
19790518	THA	LAO	075
19790518	USA	CHN	071
19790518	USA	CHN	071
19790519	BGD	USA	071
19790519	CAN	CHN	071
19790519	ESP	SDN	071
19790519	ESP	SDN	071
19790519	ETH	ZWE	072
