20150511	ESP	COL	071
20150511	GBR	ITA	070
20150511	IDN	NOR	071
20150511	IDN	NOR	071
20150511	IDN	NOR	071
20150511	WST	EUR	071
20150511	JPN	AFR	071
20150511	JPN	AFR	071
20150511	JPN	JPN	070
20150511	KOR	KOR	070
20150511	MYS	BGD	073
20150511	NLD	CHE	071
20150511	NLD	CHE	071
20150511	NLD	CHE	071
20150511	NOR	IDN	071
20150511	NOR	IDN	071
20150511	NOR	IDN	071
20150511	PAK	SAU	071
20150511	PAK	SAU	071
20150511	TUR	EGY	070
20150511	TUR	EGY	070
20150511	USA	ARM	072
20150511	USA	EUR	071
20150511	USA	EUR	071
20150511	USA	USA	071
20150511	USA	USA	071
20150504	SAU	RUS	070
20150504	TUR	SYR	072
